epoch,total_loss,data_loss,physics_loss
371,7.321651041507721,7.309154510498047,0.0124619522212015
372,7.3657002449035645,7.310283660888672,0.05539551687252242
373,7.333200216293335,7.324105381965637,0.009078758743271464
374,7.632069945335388,7.207480728626251,0.42456971472165606
375,7.371547698974609,7.366586208343506,0.0049206717467313865
376,7.333696663379669,7.2839208245277405,0.04974551978011732
377,7.472468614578247,7.372440338134766,0.10000393327209167
378,7.428592562675476,7.31150895357132,0.11705448926659301
379,7.486938416957855,7.430205762386322,0.05671789255393378
380,7.601035118103027,7.200809001922607,0.4002140730899555
381,8.029738426208496,7.259305417537689,0.7704075760993874
382,7.290878891944885,7.26458477973938,0.026272543422237504
383,7.198449969291687,7.18700510263443,0.011422582567320205
384,7.529657661914825,7.505082726478577,0.02456149848512723
385,7.607812881469727,7.587392032146454,0.020411495985172223
386,8.117020189762115,7.5510178208351135,0.5659701364347711
387,9.83846366405487,7.290903031826019,2.547550261944707
388,8.31521201133728,7.353354871273041,0.9618136686731305
389,7.330725312232971,7.327645003795624,0.0030548710346920416
390,7.303604781627655,7.272794663906097,0.030796331557212397
391,7.245405495166779,7.242079854011536,0.003314706864330219
392,7.728348433971405,7.497430741786957,0.23090340686758282
393,7.532058894634247,7.530550241470337,0.0014857384885544889
394,7.467972159385681,7.460177838802338,0.007767649873130722
395,7.714810490608215,7.494852960109711,0.21993251835010597
396,7.3104570508003235,7.308018445968628,0.0023976289194251876
397,7.362795472145081,7.36191600561142,0.0008552939325454645
398,7.3897547125816345,7.38201904296875,0.0077131428151915316
399,7.337105333805084,7.335137724876404,0.0019442700267973123
400,9.150386393070221,7.27759850025177,1.872761955652095
401,7.381636142730713,7.376671075820923,0.004936632001772523
402,7.467547178268433,7.464769184589386,0.0027637577823043102
403,7.524079859256744,7.514822840690613,0.009243642532965168
404,7.406589210033417,7.366805791854858,0.0397510900911584
405,7.5228211879730225,7.471660494804382,0.05112437275238335
406,7.296220481395721,7.27214241027832,0.024039277333940845
